"All Establishment Details"
"January 2017"
"Report Date: 05/05/2017 11:10 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"ACCS Restaurants Columbia LLC","120705277","Columbia","4","189559.0800","167959.5100","21599.5700","55896.0000","34296.4300","21599.5700","6479.9200","5399.9400","1079.9800",
"Acees, Inc.","141001836","Dongola","4","206997.1400","193034.1500","13962.9900","50694.0000","36730.7200","13963.2800","4188.9900","3490.8300","698.1600",
"Acees, Inc.","121004486","Metropolis","5","1214742.4800","1115010.7600","99731.7200","323799.0000","224223.7700","99575.2300","29872.6400","24893.8700","4978.7700",
"Acees, Inc.","141001879","Vienna","4","275135.7700","252826.8800","22308.8900","62287.0000","39978.0800","22308.9200","6692.7600","5577.3000","1115.4600",
"Ach-N-Lou's Pizza Pub, Inc.","130706356","Aurora","3","52992.6600","48933.4200","4059.2400","15399.0000","11339.7600","4059.2400","1217.7900","1014.8300","202.9600",
"Achille Foster","160700778","Decatur","5","257146.7500","237021.0200","20125.7300","103887.0000","83761.2800","20125.7200","6037.7700","5031.4700","1006.3000",
"Across The Border LLC","160700590","Melrose Park","4","61881.7100","57252.6900","4629.0200","19033.0000","14404.0400","4628.9600","1388.7400","1157.2800","231.4600",
"ACSWISS, INC.","130702608","Union","4","55806.7100","50233.5700","5573.1400","16156.0000","10582.8600","5573.1400","1671.9900","1393.3300","278.6600",
"ACTION BILLIARDS, INC.","130701767","Darien","5","472450.7400","436090.1700","36360.5700","142688.0000","106327.2300","36360.7700","10908.2600","9090.2100","1818.0500",
"Adam Harris, Inc.","120705648","Granite City","5","309126.3000","284696.9500","24429.3500","89638.0000","65208.6700","24429.3300","7328.8200","6107.3500","1221.4700",
"ADAMS COUNTY AMVETS POST NO. 76 INC.","140903973","Ursa","2","10090.6400","9034.5300","1056.1100","3256.0000","2199.8900","1056.1100","316.8600","264.0500","52.8100",
"ADCD, Inc.","120700736","Mineral","5","185980.9400","168512.9900","17467.9500","72403.0000","54935.0500","17467.9500","5240.4400","4367.0400","873.4000",
"Addison Post No. 7446, Veterans of Foreign Wars of the United States, Inc.","120905892","Addison","5","101307.9100","93896.8200","7411.0900","33342.0000","25930.9100","7411.0900","2223.3800","1852.8100","370.5700",
"ADI of Champaign, Inc.","120707531","Champaign","5","303790.3900","275266.4200","28523.9700","101450.0000","72926.0300","28523.9700","8557.1900","7130.9900","1426.2000",
"Adkins & Son, Inc.","120706961","Germantown Hills","4","128626.6500","115841.8800","12784.7700","41559.0000","28774.1300","12784.8700","3835.5000","3196.2500","639.2500",
"Adriana's Restaurant & Lounge, Incorporated","120700282","Harvard","5","98343.8300","87073.2200","11270.6100","34073.0000","22802.3900","11270.6100","3381.2800","2817.7400","563.5400",
"ADVANCED AMUSEMENT SERVICE, L.L.C.","140700642","Lyons","5","229977.1700","212334.6900","17642.4800","87720.0000","70077.5200","17642.4800","5292.7400","4410.6200","882.1200",
"AEFC, Inc.","120707313","Rockford","5","328187.5900","299056.3500","29131.2400","93221.0000","64089.7600","29131.2400","8739.4700","7282.8900","1456.5800",
"Aero Alehouse LLC","140704005","Loves Park","4","210808.9500","194770.6600","16038.2900","70165.0000","54126.7100","16038.2900","4811.4900","4009.5800","801.9100",
"AF TRUCK CENTER, LLC","151002412","Northlake","5","459231.8500","418551.8900","40679.9600","137826.0000","97145.9900","40680.0100","12204.0100","10170.0100","2034.0000",
"After The Fox, Ltd.","120702020","McHenry","5","431874.7800","408805.8800","23068.9000","138061.0000","114992.7000","23068.3000","6920.5000","5767.0900","1153.4100",
"AG ENTERTAINMENT INC","120700144","South Elgin","5","529130.8000","486956.3900","42174.4100","171053.0000","128878.5900","42174.4100","12652.3600","10543.6400","2108.7200",
"Agim Mehmedi ","130702562","Salem","5","116254.3900","109754.6400","6499.7500","40601.0000","34101.2500","6499.7500","1949.9700","1624.9700","325.0000",
